8:00;Registration;Registration;Registration;Registration;Registration;
9:00;Hello World;Hello World;Hello World;Hello World;Hello World;
9:15;How to combine Swift/Kotlin with C/C++ - Michał Kowalczyk;TBD - ;Augmented Reality in the iOS World. What's in there for us? - Kamil Czopek;TBD - ;DevOps in mobile? - Tomasz Pająk;
10:00;Coffee Break;Coffee Break;Coffee Break;Coffee Break;Coffee Break;
10:15;MVC vs MVP vs MVVM vs MVI - Marcin Moskała;Unmaintainable code - iOS developer perspective - Tomasz Gebarowski;Android Things 101 - Raul Portales;Realm database in real life - Marcin Zbijowski;Awesome native apps with NativeScript and Angular! - Rowdy Rabouw;
11:00;Coffee Break;Coffee Break;Coffee Break;Coffee Break;Coffee Break;
11:15;Functional approach to Android architecture using Kotlin - Jorge Castillo;Ogres and tests are like onions - Aleksander Grzyb, Ewa Ludwiczak;Breaking Bug - Saúl Díaz;Speech Analysis techniques - Martin Mitrevski;GraphQL vs REST - Adam Żaczek;
12:00;Lunch Break;Lunch Break;Lunch Break;Lunch Break;Lunch Break;
13:00;Android Architecture Components Considered Harmful - Vasiliy Zukanov;Let's framework everything! - Jakub Mazur;Database handling with Room - Sergi Martinez;Making Scriptable iOS Apps - Daniel Tull;Introduction to React Native - Eliasz Sawicki;
13:45;Coffee Break;Coffee Break;Coffee Break;Coffee Break;Coffee Break;
14:00;kotlin.tools() of the trade - Lorenzo Quiroli;Offline-first - Miguel Quinones;Using Android Things to detect & exterminate Reptilians - Gautier Mechling;Advanced Retrofit - Maciej Puchalski;Zero to hero in UI testing - Veselin Iliev;
14:45;Coffee Break;Coffee Break;Coffee Break;Coffee Break;Coffee Break;
15:00;RxSwift: Deep Cuts - Krzysztof Siejkowski;Optimizing Android App performance with AT&T Video Optimizer - Bartosz Kraszewski;Optimizing Android apps for desktop experience - Victor Okunev, Aleksei Kliuev;Building CI pipeline based on TeamCity & Docker in Android Team - Paweł Gajda;I didn’t know the browser could do that! - Sam Bellen;
15:45;Coffee Break;Coffee Break;Coffee Break;Coffee Break;Coffee Break;
16:00;Building iOS Apps at Scale - Yusei Nishiyama;Make your app instant - Yuliya Kaleda;Don’t fear SQL: A better way to store and handle data with SQLBrite && SQLDelight - Leandro Favarin;Tensorflow for Mobile Developers - Enrique Lopez Manas;Predict impending doom with IoT and ReactNative - Gabor Wnuk;
16:45;Coffee Break;Coffee Break;Coffee Break;Coffee Break;Coffee Break;
17:00;The Kodein KOtlin DEpendency INjection library - Salomon Brys;Lenses and Prisms in Swift - Elviro Rocca;Database driven UI with MVVM & Realm - Nikola Irinchev;Don't loose your users because of endless quality issues - Olivier Destrebecq;Bluetooth Low Energy on Android: Top Tips for the Tricky Bits - Stuart Kent;
17:45;No Coffee Break;No Coffee Break;No Coffee Break;No Coffee Break;No Coffee Break;
17:50;Finally meeting;Finally meeting;Finally meeting;Finally meeting;Finally meeting;
18:30;AfterParty in All Star Klubokawiarnia;AfterParty in All Star Klubokawiarnia;AfterParty in All Star Klubokawiarnia;AfterParty in All Star Klubokawiarnia;AfterParty in All Star Klubokawiarnia;
